ai_budget_percentage,revenue_growth_percent,industry,company_size,region,ai_adoption_stage
13.6,5.65,Technology,Startup,Europe,partial
9.16,2.52,Education,Enterprise,Oceania,pilot
8.73,7.41,Education,Enterprise,Asia,partial
9.66,2.48,Manufacturing,SME,Europe,pilot
6.42,2.05,Consulting,Startup,Asia,pilot
8.14,-0.29,Technology,Enterprise,Asia,pilot
11.92,12.33,Consulting,Startup,Asia,partial
17.5,7.1,Retail,Enterprise,Europe,partial
9.95,11.76,Retail,SME,Africa,partial
9.7,5.07,Agriculture,Enterprise,Oceania,partial
5.22,-1.51,Agriculture,SME,Europe,pilot
10.91,6.72,Education,Startup,Asia,partial
4.18,10.66,Consulting,SME,Europe,pilot
1.04,3.5,Consulting,Startup,Oceania,pilot
7.15,3.86,Manufacturing,Startup,Asia,partial
8.0,4.88,Manufacturing,Startup,Europe,partial
10.64,6.53,Consulting,Startup,South America,partial
12.88,9.54,Education,Enterprise,South America,partial
7.53,8.58,Education,Startup,Europe,partial
10.16,-5.0,Logistics,SME,Europe,pilot
14.16,2.51,Healthcare,Enterprise,Africa,partial
8.99,2.52,Consulting,Startup,Asia,partial
11.13,11.6,Healthcare,SME,Europe,partial
10.51,10.5,Consulting,SME,Oceania,partial
11.08,-1.3,Technology,Startup,Africa,partial
6.6,9.09,Retail,Startup,Asia,partial
7.15,-5.0,Agriculture,SME,Asia,pilot
9.53,2.26,Retail,SME,Asia,partial
4.16,5.04,Manufacturing,Startup,South America,pilot
5.73,-3.41,Manufacturing,Startup,Asia,none
16.56,7.03,Technology,Enterprise,Asia,partial
5.52,2.85,Healthcare,Enterprise,Europe,pilot
9.79,-5.0,Agriculture,SME,Africa,pilot
6.7,5.02,Consulting,SME,Africa,partial
18.17,10.2,Manufacturing,Startup,Europe,partial
8.77,5.74,Technology,Enterprise,Asia,pilot
17.35,10.66,Agriculture,SME,North America,partial
5.11,-4.95,Manufacturing,Startup,Africa,pilot
13.38,14.95,Manufacturing,Startup,Asia,pilot
15.41,10.9,Agriculture,SME,Asia,partial
10.1,6.49,Consulting,Enterprise,Asia,partial
8.01,-5.0,Education,SME,Asia,partial
5.13,-0.68,Consulting,SME,Europe,pilot
8.34,8.99,Logistics,SME,Asia,pilot
7.16,5.73,Finance,Startup,Asia,pilot
7.62,-1.97,Retail,Startup,Oceania,partial
5.18,2.29,Agriculture,SME,Asia,pilot
5.29,-2.13,Retail,Startup,Asia,pilot
8.28,5.3,Healthcare,SME,South America,pilot
9.89,-3.84,Technology,Startup,Europe,pilot
2.53,3.43,Consulting,SME,South America,pilot
19.48,13.16,Technology,Startup,Asia,full
9.64,-0.41,Finance,Startup,Europe,partial
11.28,6.05,Logistics,SME,Asia,partial
12.15,15.88,Healthcare,Startup,Europe,partial
2.94,7.62,Consulting,SME,Asia,partial
15.11,5.03,Manufacturing,Enterprise,Europe,partial
14.5,11.43,Finance,SME,Asia,partial
7.53,-1.36,Technology,Startup,Europe,pilot
2.53,-2.98,Healthcare,Startup,South America,pilot
11.19,5.99,Technology,Startup,Europe,pilot
15.89,5.68,Manufacturing,Startup,South America,partial
13.82,7.0,Technology,Startup,North America,partial
6.5,-1.93,Finance,SME,Africa,pilot
10.02,4.05,Retail,Startup,Europe,partial
12.26,2.27,Manufacturing,SME,Europe,partial
14.05,11.44,Healthcare,Enterprise,North America,partial
7.32,11.03,Logistics,Startup,Africa,partial
11.27,12.27,Consulting,SME,Europe,partial
11.4,6.37,Manufacturing,Enterprise,Europe,pilot
12.28,2.96,Finance,SME,South America,partial
8.92,4.89,Finance,Startup,Asia,partial
12.66,1.19,Finance,Startup,Asia,pilot
9.24,-3.43,Logistics,SME,Europe,pilot
4.44,3.72,Agriculture,Startup,South America,pilot
15.75,6.98,Technology,Enterprise,Oceania,partial
8.08,6.95,Agriculture,SME,Europe,partial
13.9,9.99,Agriculture,Startup,Asia,partial
11.77,7.93,Finance,SME,Asia,pilot
5.27,5.92,Healthcare,SME,South America,partial
11.84,8.72,Logistics,SME,Oceania,partial
10.77,-2.18,Agriculture,Enterprise,Africa,partial
11.96,0.84,Logistics,Enterprise,Oceania,partial
8.39,8.36,Consulting,Enterprise,Asia,partial
6.74,4.45,Healthcare,Startup,Asia,pilot
16.08,6.06,Manufacturing,SME,Asia,partial
5.68,1.96,Consulting,SME,Africa,pilot
8.42,1.76,Consulting,Enterprise,Asia,partial
11.65,2.19,Agriculture,SME,Africa,partial
12.44,10.5,Technology,Enterprise,Asia,partial
7.51,3.87,Healthcare,Enterprise,Europe,pilot
16.48,3.65,Technology,SME,South America,partial
10.18,0.89,Technology,Startup,Asia,partial
10.6,1.95,Finance,Startup,Asia,pilot
15.0,11.97,Technology,SME,Africa,partial
8.37,4.8,Agriculture,Startup,North America,partial
6.99,3.38,Manufacturing,Startup,South America,pilot
6.24,4.49,Technology,SME,Europe,pilot
1.2,8.35,Agriculture,Startup,Asia,pilot
7.33,5.15,Consulting,SME,Asia,pilot
4.8,2.76,Healthcare,Startup,Europe,none
16.56,14.35,Technology,Startup,Europe,partial
4.62,2.44,Manufacturing,Startup,Europe,partial
9.07,3.11,Finance,Startup,Africa,partial
7.96,2.81,Education,Startup,Europe,partial
11.36,7.21,Technology,Startup,North America,partial
7.06,-0.55,Manufacturing,SME,Europe,pilot
10.9,-5.0,Technology,Startup,South America,pilot
7.02,0.45,Logistics,SME,Europe,pilot
8.57,0.11,Healthcare,SME,Europe,pilot
7.71,2.83,Agriculture,Startup,Oceania,pilot
8.63,14.74,Agriculture,SME,Europe,partial
5.6,15.57,Technology,SME,South America,pilot
1.39,9.65,Retail,Startup,Europe,none
13.69,7.07,Finance,Startup,Europe,partial
2.68,3.91,Consulting,SME,Europe,none
5.05,0.26,Consulting,Startup,Asia,pilot
14.29,8.15,Technology,Enterprise,Africa,partial
12.24,2.05,Agriculture,Enterprise,Oceania,partial
10.89,5.43,Technology,SME,Asia,partial
9.6,15.09,Finance,Startup,Asia,pilot
10.65,2.46,Consulting,Startup,Asia,partial
8.53,12.6,Retail,Startup,Africa,pilot
12.09,9.35,Manufacturing,Enterprise,South America,partial
8.35,14.5,Technology,Startup,North America,pilot
0.44,0.01,Technology,SME,Africa,pilot
8.9,12.45,Education,SME,Oceania,partial
2.91,3.46,Logistics,Startup,North America,pilot
5.13,11.56,Finance,Startup,Europe,pilot
9.17,1.63,Agriculture,Enterprise,Africa,pilot
3.28,-5.0,Manufacturing,SME,South America,pilot
6.3,2.53,Manufacturing,Startup,Europe,pilot
15.13,9.96,Technology,SME,Europe,partial
12.94,5.21,Healthcare,Startup,Oceania,pilot
5.69,-3.61,Education,SME,Asia,pilot
15.43,9.36,Technology,Enterprise,Europe,partial
16.36,-2.28,Agriculture,Enterprise,Africa,pilot
11.36,4.49,Manufacturing,Enterprise,North America,pilot
12.85,7.5,Logistics,Startup,Europe,partial
2.34,0.5,Education,Startup,Africa,pilot
7.85,-4.17,Retail,Startup,Europe,partial
10.92,3.08,Healthcare,SME,Europe,partial
14.31,5.2,Agriculture,Enterprise,Europe,pilot
4.3,3.97,Retail,Startup,Africa,none
6.33,-5.0,Healthcare,Startup,South America,partial
4.48,-1.89,Consulting,Enterprise,Europe,pilot
9.95,-2.01,Logistics,SME,Europe,pilot
12.13,13.39,Manufacturing,Startup,Europe,partial
15.65,3.34,Finance,Startup,Asia,partial
6.21,5.33,Retail,SME,Europe,pilot
1.19,-1.76,Finance,Startup,Africa,pilot
12.35,12.24,Consulting,SME,Africa,partial
7.65,7.83,Consulting,Startup,Africa,pilot
9.34,-5.0,Healthcare,SME,North America,pilot
10.12,3.81,Consulting,Startup,Asia,pilot
7.79,-1.32,Technology,Startup,Asia,pilot
7.19,7.85,Education,SME,North America,partial
8.76,10.3,Finance,Enterprise,Asia,pilot
7.77,4.89,Consulting,SME,Asia,pilot
17.7,-0.29,Technology,Enterprise,Asia,partial
8.82,-2.18,Agriculture,Enterprise,Europe,pilot
4.89,1.65,Finance,Startup,Asia,pilot
9.74,10.72,Consulting,SME,South America,partial
5.74,4.05,Agriculture,Startup,Europe,pilot
17.49,9.63,Technology,Enterprise,Africa,partial
9.32,-0.18,Consulting,Enterprise,Asia,partial
6.2,6.6,Finance,SME,Europe,pilot
10.01,2.2,Agriculture,SME,Africa,pilot
6.64,6.11,Manufacturing,SME,Africa,pilot
15.44,6.2,Technology,Startup,Oceania,partial
11.5,-1.49,Finance,Startup,Europe,pilot
7.48,8.52,Retail,Startup,Asia,pilot
8.34,3.45,Manufacturing,Startup,Asia,pilot
14.3,7.93,Education,Enterprise,Oceania,partial
7.7,-0.12,Healthcare,SME,Asia,pilot
16.32,10.44,Technology,Startup,Asia,partial
12.91,2.98,Healthcare,Startup,Africa,partial
11.48,6.6,Retail,SME,Asia,partial
18.79,14.98,Finance,Startup,Europe,partial
13.93,1.48,Technology,Enterprise,Oceania,partial
16.49,14.02,Education,Enterprise,Asia,partial
7.67,-0.54,Retail,Startup,Europe,partial
6.24,-1.2,Retail,Startup,South America,pilot
9.83,11.57,Finance,Enterprise,Asia,partial
14.76,3.44,Logistics,Enterprise,Asia,partial
9.4,0.31,Education,SME,Europe,pilot
17.5,13.82,Agriculture,Enterprise,Oceania,partial
8.82,4.92,Agriculture,SME,Europe,pilot
12.75,-1.85,Logistics,SME,Europe,partial
11.01,-3.08,Logistics,Startup,Asia,partial
13.28,7.03,Consulting,SME,Europe,partial
9.22,0.2,Healthcare,Startup,Asia,pilot
12.56,8.96,Education,Startup,Oceania,pilot
6.58,-3.68,Agriculture,Startup,Asia,pilot
7.96,8.21,Retail,Enterprise,Africa,pilot
15.46,7.96,Technology,Enterprise,Asia,partial
0.11,-5.0,Manufacturing,Enterprise,Asia,none
12.82,-3.28,Agriculture,SME,North America,pilot
4.44,2.19,Finance,Startup,Europe,none
14.04,2.65,Agriculture,Enterprise,Asia,partial
9.16,8.51,Education,Startup,Asia,pilot
8.63,1.59,Retail,Startup,Europe,partial
8.2,3.41,Consulting,Startup,Asia,partial
6.72,-5.0,Healthcare,Startup,Oceania,pilot
10.7,-0.81,Finance,SME,Africa,partial
9.72,-1.95,Finance,SME,Africa,pilot
7.43,-1.55,Logistics,SME,Africa,pilot
12.14,6.03,Consulting,Startup,South America,partial
6.35,0.28,Consulting,SME,Oceania,pilot
12.73,6.23,Retail,SME,Asia,partial
14.85,9.39,Agriculture,SME,South America,partial
8.03,5.72,Manufacturing,SME,Asia,pilot
12.98,2.55,Healthcare,Startup,Asia,partial
9.88,5.22,Consulting,Startup,South America,pilot
12.44,-0.48,Manufacturing,Enterprise,Asia,pilot
13.73,11.44,Finance,SME,Europe,partial
9.48,12.46,Manufacturing,SME,Asia,partial
10.89,1.8,Education,Startup,North America,pilot
10.03,9.34,Retail,SME,Oceania,partial
11.54,3.74,Education,SME,Asia,partial
10.49,5.37,Education,SME,Asia,partial
2.2,0.36,Agriculture,Startup,Europe,pilot
7.81,4.86,Consulting,SME,Oceania,pilot
0.73,5.88,Consulting,SME,Asia,pilot
11.48,3.54,Healthcare,SME,Asia,pilot
6.75,3.15,Logistics,Enterprise,Asia,pilot
2.78,-0.89,Education,SME,Europe,none
12.94,7.42,Healthcare,Startup,South America,partial
6.13,4.8,Retail,SME,Asia,pilot
11.85,5.57,Finance,SME,Asia,partial
3.52,4.82,Retail,Startup,Europe,pilot
9.57,2.99,Technology,Startup,Asia,pilot
3.67,6.36,Healthcare,Startup,Africa,partial
19.23,5.92,Manufacturing,Enterprise,Oceania,full
10.55,-5.0,Manufacturing,Startup,Africa,partial
12.04,10.27,Technology,Startup,Europe,partial
11.16,6.65,Consulting,Enterprise,Europe,partial
8.77,5.05,Consulting,Startup,Africa,pilot
12.29,19.64,Technology,SME,Europe,partial
7.77,3.17,Technology,Startup,Asia,partial
0.83,1.42,Education,Startup,South America,pilot
7.05,2.02,Finance,SME,Africa,pilot
9.65,6.03,Consulting,SME,Oceania,partial
7.77,-1.1,Technology,Startup,Africa,pilot
10.55,9.38,Healthcare,Startup,Europe,partial
7.71,-5.0,Education,SME,Asia,pilot
13.74,4.21,Consulting,SME,Asia,partial
9.56,-2.64,Retail,SME,Europe,partial
8.21,5.55,Logistics,Startup,Europe,partial
4.96,-5.0,Education,Startup,North America,none
6.91,19.24,Consulting,SME,North America,pilot
4.25,7.26,Finance,Startup,Asia,pilot
3.67,8.87,Agriculture,SME,Asia,pilot
4.23,0.82,Consulting,Enterprise,Europe,pilot
4.89,1.63,Retail,Startup,Europe,pilot
16.71,1.54,Healthcare,Enterprise,North America,partial
11.43,-0.87,Technology,SME,Europe,pilot
7.44,-0.66,Logistics,Startup,South America,pilot
8.3,-1.13,Retail,Startup,Europe,pilot
0.96,5.36,Healthcare,Startup,Asia,pilot
3.23,-1.59,Logistics,SME,Asia,pilot
7.07,-1.24,Logistics,SME,Oceania,pilot
13.55,10.13,Finance,Startup,Asia,partial
0.66,2.33,Education,Startup,North America,pilot
15.28,6.58,Technology,Enterprise,Asia,partial
9.38,1.92,Manufacturing,SME,Europe,pilot
12.24,7.88,Manufacturing,SME,Asia,pilot
12.03,8.12,Agriculture,SME,Asia,pilot
3.86,-0.54,Healthcare,SME,Oceania,pilot
10.55,4.85,Education,SME,Asia,partial
4.79,3.14,Finance,Startup,Oceania,partial
11.58,4.09,Consulting,Startup,Asia,pilot
7.17,3.52,Healthcare,SME,Asia,pilot
16.03,8.02,Finance,SME,Europe,partial
6.53,10.13,Logistics,Startup,Europe,partial
15.14,0.84,Education,Startup,South America,partial
13.83,10.22,Agriculture,SME,Asia,partial
8.75,7.22,Agriculture,Startup,Asia,partial
6.66,2.7,Agriculture,SME,South America,pilot
5.92,2.24,Manufacturing,SME,Asia,pilot
9.22,1.32,Healthcare,Startup,Africa,partial
1.78,-5.0,Education,SME,South America,none
6.38,-0.88,Education,Startup,Europe,pilot
8.29,8.03,Retail,Startup,Asia,partial
6.47,7.7,Manufacturing,SME,Asia,partial
0.0,-5.0,Healthcare,Startup,Asia,pilot
15.26,5.28,Technology,SME,Asia,pilot
3.91,-0.34,Healthcare,Startup,North America,pilot
10.79,7.84,Retail,Enterprise,Asia,pilot
8.28,-2.57,Consulting,SME,Africa,pilot
8.51,11.65,Healthcare,Startup,Africa,partial
5.81,-3.61,Education,SME,Europe,pilot
15.95,11.43,Finance,Enterprise,Europe,full
11.64,2.92,Agriculture,Enterprise,Africa,pilot
8.92,12.32,Manufacturing,Enterprise,Asia,pilot
6.9,-1.89,Agriculture,Startup,Asia,pilot
14.13,12.14,Technology,Enterprise,Asia,partial
14.66,2.39,Finance,Startup,Asia,full
9.98,4.02,Logistics,SME,Asia,partial
8.84,9.36,Retail,SME,South America,pilot
2.49,2.31,Manufacturing,SME,Asia,pilot
8.35,5.56,Manufacturing,Enterprise,North America,partial
1.06,5.56,Manufacturing,SME,Asia,pilot
13.61,6.91,Agriculture,Startup,Europe,partial
14.21,3.3,Education,Startup,Asia,partial
11.61,-0.72,Finance,SME,Asia,partial
15.22,9.49,Retail,Enterprise,Oceania,partial
7.78,6.98,Technology,Startup,Europe,partial
6.34,2.2,Manufacturing,SME,South America,partial
11.07,5.1,Finance,SME,Africa,pilot
9.81,9.29,Retail,Enterprise,Europe,pilot
13.95,3.87,Healthcare,Enterprise,Asia,partial
12.23,5.04,Retail,SME,South America,partial
8.44,9.04,Consulting,Enterprise,Asia,partial
13.15,9.82,Manufacturing,Enterprise,Asia,partial
4.35,5.05,Education,SME,Europe,pilot
18.22,12.2,Technology,Enterprise,Africa,partial
11.1,12.91,Healthcare,SME,Asia,partial
5.53,0.29,Manufacturing,Startup,South America,pilot
12.74,7.36,Manufacturing,Enterprise,Asia,partial
16.52,9.94,Technology,SME,Asia,partial
7.7,2.21,Retail,Enterprise,Asia,pilot
6.56,2.74,Retail,Startup,Asia,pilot
2.31,4.31,Education,SME,Africa,pilot
7.16,-1.33,Manufacturing,Startup,Europe,partial
10.2,3.49,Education,SME,South America,partial
9.32,11.4,Manufacturing,Startup,Asia,pilot
4.08,-0.86,Consulting,SME,South America,none
10.39,9.06,Technology,SME,Asia,partial
9.75,2.73,Logistics,SME,Asia,partial
4.61,-5.0,Logistics,Enterprise,Europe,pilot
4.61,8.58,Consulting,Startup,Europe,pilot
5.86,5.84,Retail,SME,Asia,pilot
7.44,-2.57,Agriculture,Startup,Asia,partial
8.42,7.53,Education,Startup,Europe,partial
8.66,1.16,Healthcare,SME,Europe,partial
14.32,8.02,Consulting,Enterprise,North America,partial
5.29,2.64,Healthcare,Startup,Asia,none
11.46,22.6,Finance,SME,Europe,partial
7.45,3.57,Retail,Startup,Africa,partial
9.96,3.07,Education,Startup,Asia,partial
12.11,3.75,Education,Enterprise,Asia,partial
10.26,-5.0,Consulting,SME,Europe,partial
4.69,-5.0,Retail,Startup,Asia,partial
6.21,4.35,Manufacturing,Startup,Europe,none
10.66,5.24,Finance,SME,North America,partial
3.67,-4.87,Agriculture,SME,South America,none
14.15,-2.44,Technology,Enterprise,Asia,partial
11.9,2.06,Agriculture,Enterprise,Asia,partial
9.48,-2.57,Healthcare,Startup,Oceania,partial
9.27,3.23,Consulting,Enterprise,Europe,pilot
9.5,-1.85,Healthcare,Enterprise,South America,pilot
8.6,9.01,Finance,SME,Africa,partial
9.54,2.09,Technology,Startup,Africa,pilot
10.07,9.49,Technology,SME,Europe,partial
7.26,-0.35,Retail,SME,Asia,pilot
4.01,-3.08,Education,Startup,Asia,pilot
10.04,6.98,Manufacturing,SME,Asia,partial
12.26,3.43,Finance,Enterprise,Africa,pilot
4.07,7.34,Finance,SME,Asia,pilot
16.18,8.7,Education,Enterprise,Asia,full
10.9,4.47,Retail,SME,Asia,partial
17.34,14.47,Finance,Enterprise,Asia,partial
3.37,-2.52,Finance,SME,Asia,pilot
12.31,8.92,Technology,Enterprise,Europe,pilot
4.08,-5.0,Retail,Startup,Africa,pilot
13.37,9.48,Logistics,Startup,Asia,partial
6.17,1.28,Finance,Startup,South America,pilot
10.25,5.03,Manufacturing,SME,Asia,partial
13.75,11.57,Healthcare,Enterprise,Asia,partial
7.59,0.46,Logistics,Startup,Oceania,partial
14.85,10.88,Healthcare,SME,Asia,partial
6.99,1.81,Agriculture,SME,South America,pilot
12.08,-0.26,Technology,SME,Europe,pilot
9.98,7.98,Finance,Enterprise,Asia,partial
11.6,7.42,Healthcare,Startup,Europe,partial
10.2,3.76,Healthcare,SME,South America,pilot
3.3,-1.85,Finance,SME,Europe,pilot
8.14,2.23,Healthcare,Enterprise,Asia,partial
8.2,5.39,Finance,SME,South America,partial
7.05,-0.43,Retail,Startup,South America,pilot
4.36,-5.0,Healthcare,Startup,Asia,pilot
7.67,7.27,Consulting,SME,Oceania,pilot
4.16,0.47,Education,SME,Asia,pilot
16.65,9.73,Technology,Startup,Europe,partial
11.87,9.29,Healthcare,SME,Africa,partial
1.32,0.85,Technology,SME,Europe,none
3.83,4.19,Education,Startup,Asia,pilot
8.67,8.65,Manufacturing,Enterprise,Europe,pilot
7.53,0.02,Retail,Startup,Europe,pilot
6.96,-1.9,Consulting,Startup,Europe,pilot
2.16,-5.0,Finance,SME,Asia,none
13.46,15.69,Retail,SME,Europe,partial
4.32,9.29,Education,SME,Africa,pilot
18.13,8.3,Technology,SME,Africa,partial
7.96,15.32,Manufacturing,Enterprise,Oceania,partial
6.57,-3.41,Healthcare,Startup,South America,pilot
8.3,2.56,Logistics,Startup,Europe,pilot
15.42,6.84,Technology,Startup,South America,partial
11.55,-1.87,Education,Startup,Europe,partial
6.42,-2.05,Agriculture,Startup,South America,pilot
9.87,11.87,Agriculture,SME,Europe,partial
11.74,4.55,Technology,SME,Europe,pilot
16.15,0.53,Education,Enterprise,North America,partial
2.33,-5.0,Education,SME,Europe,pilot
7.19,-3.64,Retail,Enterprise,Europe,pilot
4.03,3.24,Agriculture,Startup,South America,pilot
12.92,2.72,Consulting,SME,South America,partial
8.59,6.73,Manufacturing,SME,Africa,pilot
10.6,6.46,Finance,SME,Europe,partial
7.09,1.0,Retail,SME,Africa,partial
10.08,6.03,Education,Startup,Asia,partial
7.13,14.52,Consulting,Startup,Asia,partial
16.74,1.75,Agriculture,Enterprise,Asia,partial
8.32,3.75,Technology,SME,Europe,pilot
3.24,3.99,Finance,Startup,Europe,pilot
12.36,8.81,Healthcare,SME,Africa,pilot
6.01,-0.44,Healthcare,SME,Africa,pilot
6.86,-0.83,Healthcare,Startup,Europe,pilot
8.13,-4.55,Manufacturing,SME,Europe,pilot
8.43,8.6,Logistics,SME,Asia,pilot
5.4,-1.32,Healthcare,SME,South America,pilot
3.83,3.41,Agriculture,Startup,Asia,pilot
14.49,3.72,Technology,SME,Europe,partial
15.19,17.54,Logistics,Enterprise,Oceania,partial
8.37,5.34,Healthcare,Startup,Africa,pilot
8.81,4.23,Retail,SME,Asia,partial
8.21,2.12,Finance,Startup,Africa,partial
5.14,-0.54,Manufacturing,Startup,Asia,pilot
10.62,3.36,Manufacturing,Enterprise,North America,partial
11.05,10.53,Healthcare,SME,Asia,partial
5.91,8.24,Retail,Startup,Asia,partial
14.08,8.42,Finance,SME,Asia,partial
5.42,-3.57,Consulting,Startup,Asia,partial
4.7,7.92,Agriculture,Startup,Africa,pilot
8.92,11.28,Consulting,SME,Oceania,pilot
11.94,4.72,Healthcare,Enterprise,Asia,partial
13.41,9.7,Technology,SME,Oceania,partial
8.34,0.14,Education,Startup,Europe,pilot
4.85,-2.16,Agriculture,Startup,South America,pilot
11.96,10.25,Finance,Enterprise,Africa,pilot
9.24,1.25,Education,Startup,Africa,partial
9.44,8.98,Manufacturing,Enterprise,Africa,partial
1.8,-3.05,Education,Startup,Europe,pilot
6.78,3.27,Logistics,Startup,Europe,pilot
14.57,11.25,Education,Enterprise,Europe,partial
10.4,0.97,Healthcare,Enterprise,Asia,partial
5.79,9.66,Healthcare,SME,Asia,pilot
14.7,0.73,Technology,SME,Asia,partial
7.46,9.42,Retail,SME,Europe,pilot
7.73,1.96,Manufacturing,Enterprise,Europe,pilot
14.59,20.4,Agriculture,Enterprise,Oceania,partial
7.53,3.45,Finance,Enterprise,South America,pilot
13.43,6.3,Agriculture,SME,Europe,partial
1.64,-1.85,Finance,Startup,Europe,pilot
10.84,6.03,Technology,Startup,Asia,partial
10.96,4.08,Healthcare,SME,South America,partial
10.7,6.72,Retail,Enterprise,Oceania,partial
10.58,4.89,Technology,Enterprise,North America,partial
9.78,2.01,Education,Startup,Europe,partial
12.12,11.21,Healthcare,SME,Asia,partial
16.2,6.16,Healthcare,Enterprise,Asia,partial
10.91,2.61,Agriculture,SME,Asia,partial
13.18,4.47,Logistics,SME,Europe,partial
